        4096	NonSimd_Speedup  95.16	Simd_Speedup  95.96
        8192	NonSimd_Speedup  99.72	Simd_Speedup  96.25
       16384	NonSimd_Speedup 127.18	Simd_Speedup 110.15
       32768	NonSimd_Speedup 213.32	Simd_Speedup 212.91
       65536	NonSimd_Speedup 109.92	Simd_Speedup 114.16
      131072	NonSimd_Speedup 100.92	Simd_Speedup 114.29
      262144	NonSimd_Speedup 110.12	Simd_Speedup 115.76
      524288	NonSimd_Speedup  81.55	Simd_Speedup 112.22
     1048576	NonSimd_Speedup  82.83	Simd_Speedup 111.83
     2097152	NonSimd_Speedup  89.07	Simd_Speedup 107.27
     4194304	NonSimd_Speedup  83.10	Simd_Speedup 114.59
     8388608	NonSimd_Speedup  71.57	Simd_Speedup 104.25
        1024	NonSimd_Speedup  61.18	Simd_Speedup  65.70
        2048	NonSimd_Speedup  86.55	Simd_Speedup  88.16
        4096	NonSimd_Speedup 108.22	Simd_Speedup 106.77
        8192	NonSimd_Speedup 121.87	Simd_Speedup 118.21
       16384	NonSimd_Speedup 124.90	Simd_Speedup 121.47
       32768	NonSimd_Speedup 134.61	Simd_Speedup 132.29
       65536	NonSimd_Speedup 123.81	Simd_Speedup 132.77
      131072	NonSimd_Speedup 123.78	Simd_Speedup 125.10
      262144	NonSimd_Speedup 130.16	Simd_Speedup 131.67
      524288	NonSimd_Speedup  93.10	Simd_Speedup 129.30
     1048576	NonSimd_Speedup  92.53	Simd_Speedup 127.87
     2097152	NonSimd_Speedup  97.47	Simd_Speedup 127.58
     4194304	NonSimd_Speedup  68.08	Simd_Speedup 125.23
     8388608	NonSimd_Speedup  87.16	Simd_Speedup 126.62
