"1024,","N,","220.93,","S,","1818.88,",(,"8.23),","N,","223.58,",S,",","1790.74,",(,"8.01),"
"2048,","N,","222.10,","S,","1877.10,",(,"8.45),","N,","234.49,",S,",","1867.14,",(,"7.96),"
"4096,","N,","221.74,","S,","1772.33,",(,"7.99),","N,","225.26,",S,",","1887.57,",(,"8.38),"
"8192,","N,","221.69,","S,","1769.30,",(,"7.98),","N,","225.79,",S,",","1842.98,",(,"8.16),"
"16384,","N,","138.49,","S,","993.88,",(,"7.18),","N,","146.41,",S,",","1158.37,",(,"7.91),"
"32768,","N,","221.49,","S,","1408.35,",(,"6.36),","N,","225.91,",S,",","1818.43,",(,"8.05),"
"65536,","N,","221.80,","S,","1369.75,",(,"6.18),","N,","227.31,",S,",","1806.14,",(,"7.95),"
"131072,","N,","221.10,","S,","1323.48,",(,"5.99),","N,","225.78,",S,",","1803.29,",(,"7.99),"
"262144,","N,","219.58,","S,","1304.37,",(,"5.94),","N,","220.24,",S,",","1799.26,",(,"8.17),"
"524288,","N,","212.04,","S,","747.36,",(,"3.52),","N,","150.61,",S,",","977.83,",(,"6.49),"
"1048576,","N,","213.04,","S,","544.53,",(,"2.56),","N,","218.66,",S,",","1483.63,",(,"6.79),"
"2097152,","N,","214.49,","S,","524.19,",(,"2.44),","N,","220.15,",S,",","887.50,",(,"4.03),"
"4194304,","N,","208.76,","S,","540.62,",(,"2.59),","N,","217.62,",S,",","937.95,",(,"4.31),"
"8388608,","N,","212.72,","S,","579.38,",(,"2.72),","N,","221.27,",S,",","1032.06,",(,"4.66),"
