 1,        1,   0.00,   0.37
 1,       10,  20.00,   2.91
 1,      100,  30.00,   7.70
 1,     1000,  27.60,  11.25
 1,    10000,  25.76,  10.69
 1,   100000,  26.82,  15.68
 1,   500000,  26.80,  15.52
 1,  1000000,  26.95,  15.45
 2,        1,   0.00,   0.22
 2,       10,  20.00,   1.63
 2,      100,  22.00,  12.54
 2,     1000,  29.70,   9.85
 2,    10000,  27.48,  22.51
 2,   100000,  26.94,  25.01
 2,   500000,  26.95,  28.62
 2,  1000000,  26.88,  28.46
 4,        1,   0.00,   0.24
 4,       10,  30.00,   2.06
 4,      100,  32.00,  15.15
 4,     1000,  26.30,  30.18
 4,    10000,  26.99,  38.67
 4,   100000,  26.71,  49.71
 4,   500000,  26.87,  55.71
 4,  1000000,  26.78,  50.27
 6,        1,   0.00,   0.25
 6,       10,  40.00,   1.51
 6,      100,  25.00,  13.12
 6,     1000,  26.90,  47.68
 6,    10000,  26.80,  56.00
 6,   100000,  27.06,  71.68
 6,   500000,  27.01,  84.83
 6,  1000000,  26.89,  79.17
 8,        1, 100.00,   0.18
 8,       10,  40.00,   2.19
 8,      100,  30.00,  11.01
 8,     1000,  27.10,  55.36
 8,    10000,  26.44,  60.69
 8,   100000,  26.84,  71.15
 8,   500000,  26.86, 111.88
 8,  1000000,  26.87, 110.77
12,        1,   0.00,   0.17
12,       10,  40.00,   1.53
12,      100,  29.00,  11.08
12,     1000,  26.90,  62.24
12,    10000,  27.09,  91.22
12,   100000,  26.89,  92.37
12,   500000,  26.76, 119.37
12,  1000000,  26.82, 147.05
16,        1,   0.00,   0.17
16,       10,   0.00,   1.38
16,      100,  30.00,   9.17
16,     1000,  27.30,  63.36
16,    10000,  27.01,  78.41
16,   100000,  26.73, 103.58
16,   500000,  26.83, 143.17
16,  1000000,  26.85, 156.39
