 1,        1, 100.00,   0.63
 1,       10,  10.00,   4.10
 1,      100,  20.00,  17.33
 1,     1000,  25.20,  11.42
 1,    10000,  26.15,  12.98
 1,   100000,  26.74,  14.55
 1,   500000,  26.93,  14.40
 1,  1000000,  26.82,  14.14
 2,        1, 100.00,   0.28
 2,       10,  40.00,   2.46
 2,      100,  35.00,   9.51
 2,     1000,  27.10,  20.96
 2,    10000,  27.43,  27.18
 2,   100000,  27.10,  28.40
 2,   500000,  26.89,  27.98
 2,  1000000,  26.81,  27.97
 4,        1, 100.00,   0.27
 4,       10,  30.00,   1.87
 4,      100,  25.00,  14.54
 4,     1000,  27.60,  31.94
 4,    10000,  26.45,  32.32
 4,   100000,  26.83,  49.56
 4,   500000,  26.80,  50.83
 4,  1000000,  26.88,  50.22
 6,        1,   0.00,   0.23
 6,       10,  40.00,   2.58
 6,      100,  20.00,  13.70
 6,     1000,  28.70,  75.13
 6,    10000,  27.73,  33.31
 6,   100000,  26.93,  66.23
 6,   500000,  27.03,  82.62
 6,  1000000,  27.02,  75.30
 8,        1,   0.00,   0.18
 8,       10,  20.00,   1.73
 8,      100,  23.00,  14.30
 8,     1000,  25.70,  62.79
 8,    10000,  27.36,  93.47
 8,   100000,  26.91,  69.85
 8,   500000,  26.91,  79.24
 8,  1000000,  26.95, 108.16
12,        1,   0.00,   0.19
12,       10,  10.00,   1.86
12,      100,  12.00,  10.78
12,     1000,  27.50,  79.77
12,    10000,  26.82,  90.92
12,   100000,  26.85,  88.91
12,   500000,  26.88, 113.40
12,  1000000,  26.93, 155.03
