 1,        1, 100.00,   0.63
 1,       10,  20.00,   5.09
 1,      100,  19.00,  14.02
 1,     1000,  28.20,  11.47
 1,    10000,  26.41,  16.66
 1,   100000,  26.73,  17.80
 1,   500000,  26.81,  14.23
 1,  1000000,  26.94,  14.08
 2,        1, 100.00,   0.26
 2,       10,  50.00,   2.19
 2,      100,  28.00,  11.48
 2,     1000,  27.30,  22.49
 2,    10000,  26.63,  25.76
 2,   100000,  26.87,  28.64
 2,   500000,  26.91,  28.09
 2,  1000000,  26.83,  28.13
 4,        1,   0.00,   0.23
 4,       10,  10.00,   2.65
 4,      100,  28.00,  16.06
 4,     1000,  25.60,  32.21
 4,    10000,  27.15,  54.62
 4,   100000,  27.06,  48.41
 4,   500000,  26.99,  56.05
 4,  1000000,  26.90,  55.81
 6,        1,   0.00,   0.27
 6,       10,  30.00,   2.13
 6,      100,  28.00,  15.91
 6,     1000,  29.00,  41.90
 6,    10000,  26.87,  53.27
 6,   100000,  26.98,  52.86
 6,   500000,  26.90,  83.22
 6,  1000000,  26.88,  83.75
 8,        1,   0.00,   0.19
 8,       10,  20.00,   1.77
 8,      100,  23.00,  13.37
 8,     1000,  25.30,  53.96
 8,    10000,  26.66,  79.21
 8,   100000,  26.75,  71.30
 8,   500000,  26.85, 104.61
 8,  1000000,  26.85, 111.10
12,        1, 100.00,   0.21
12,       10,  10.00,   1.67
12,      100,  25.00,  12.19
12,     1000,  25.80,  72.10
12,    10000,  25.56, 101.26
12,   100000,  26.90,  94.07
12,   500000,  26.84, 165.15
12,  1000000,  26.81, 165.51
