 1,        1,   0.00,   0.30
 1,       10,  40.00,   3.61
 1,      100,  21.00,   5.26
 1,     1000,  26.60,   7.23
 1,    10000,  27.67,   9.58
 1,   100000,  26.82,  17.89
 1,   500000,  26.92,  17.81
 1,  1000000,  26.84,  17.75
 2,        1, 100.00,   0.15
 2,       10,  30.00,   1.66
 2,      100,  19.00,   8.97
 2,     1000,  28.50,  16.33
 2,    10000,  26.64,  15.75
 2,   100000,  27.00,  24.48
 2,   500000,  26.95,  35.53
 2,  1000000,  26.89,  35.51
 4,        1,   0.00,   0.14
 4,       10,  30.00,   1.33
 4,      100,  28.00,   9.70
 4,     1000,  26.40,  27.25
 4,    10000,  27.86,  29.84
 4,   100000,  27.23,  38.34
 4,   500000,  26.96,  64.47
 4,  1000000,  26.85,  68.85
 8,        1,   0.00,   0.13
 8,       10,  30.00,   1.60
 8,      100,  28.00,  10.91
 8,     1000,  29.20,  44.05
 8,    10000,  26.76,  55.87
 8,   100000,  26.81,  66.38
 8,   500000,  26.86, 106.28
 8,  1000000,  26.90, 126.45
12,        1,   0.00,   0.14
12,       10,  20.00,   1.39
12,      100,  22.00,  10.26
12,     1000,  26.50,  59.55
12,    10000,  27.29,  87.30
12,   100000,  26.65,  92.79
12,   500000,  26.78, 132.61
12,  1000000,  26.79, 170.38
16,        1,   0.00,   0.12
16,       10,  10.00,   1.10
16,      100,  32.00,   6.84
16,     1000,  27.40,  44.40
16,    10000,  27.47,  84.59
16,   100000,  27.22, 115.33
16,   500000,  26.96, 142.29
16,  1000000,  26.91, 211.77
20,        1,   0.00,   0.10
20,       10,  30.00,   1.06
20,      100,  27.00,   7.77
20,     1000,  28.10,  43.05
20,    10000,  26.98,  93.60
20,   100000,  27.02,  96.01
20,   500000,  26.88, 165.11
20,  1000000,  26.85, 195.28
24,        1,   0.00,   0.10
24,       10,  40.00,   0.78
24,      100,  34.00,   7.67
24,     1000,  29.00,  47.82
24,    10000,  26.97, 109.57
24,   100000,  26.89, 116.39
24,   500000,  26.88, 165.39
24,  1000000,  26.89, 210.14
32,        1,   0.00,   0.10
32,       10,  10.00,   0.68
32,      100,  31.00,   6.87
32,     1000,  27.80,  66.07
32,    10000,  26.75, 153.15
32,   100000,  26.92, 151.16
32,   500000,  26.86, 199.25
32,  1000000,  26.88, 247.54
